player :arhum			|score:88
player :ali			|score:69
player :ali			|score:69
player :jhjhkj			|score:0
player :vfdvs			|score:0
player :sd			|score:10
player :hahahahah		|score:10
player :hello			|score:10
player :							|score:10
player :yousuf			|score:2
player :dsafdsf			|score:30
player :dsfdsa			|score:32
player :dsaf			|score:0
player :dsafdsa			|score:30
player :dsaf			|score:0
player :dsafds			|score:30
player :dsafsa			|score:3
player :daf			|score:0
player :dafds			|score:0
player :dsfds			|score:0
player :dafdsa			|score:0
player :dafs			|score:0
player :adsaf			|score:0
player :dsfdsf			|score:0
player :afsaf			|score:0
player :ghf			|score:0
player :dfaf			|score:0
player :dsafds			|score:0
player :dsfa			|score:0
player :gffsh			|score:0
player :dsfads			|score:0
player :fdsafds			|score:0
player :dsfa			|score:1
player :dsfad			|score:0
player :dfa			|score:0
player :dsfds			|score:0
player :dfds			|score:0
player :dfsad			|score:0
player :dsafs			|score:0
player :dfsa			|score:100
player :dsaf			|score:2578
player :dsf			|score:0
player :dfsaf			|score:0
player :fdsads			|score:1903
player :dsafd			|score:2483
player :dsfddsa			|score:0
player :dfsa			|score:0
player :dsfad			|score:0
player :dsaf			|score:0
player :daf			|score:0
